FIPS Code,State,Area name,"Less than a high school diploma, 2011-2015","High school diploma only, 2011-2015","Some college or associate's degree, 2011-2015","Bachelor's degree or higher, 2011-2015","Percent of adults with less than a high school diploma, 2011-2015","Percent of adults with a high school diploma only, 2011-2015","Percent of adults completing some college or associate's degree, 2011-2015","Percent of adults with a bachelor's degree or higher, 2011-2015"
00000,US,United States,"28,229,094","58,722,528","61,558,628","62,952,272",13.3,27.8,29.1,29.8
01000,AL,Alabama,"509,891","1,005,295","962,515","761,650",15.7,31.0,29.7,23.5
01001,AL,Autauga County,"4,656","12,182","11,044","8,437",12.8,33.5,30.4,23.2
01003,AL,Baldwin County,"14,360","39,431","43,500","39,710",10.5,28.8,31.8,29.0
01005,AL,Barbour County,"5,021","6,490","4,943","2,354",26.7,34.5,26.3,12.5
01007,AL,Bibb County,"3,024","6,574","4,367","1,664",19.3,42.1,27.9,10.6
01009,AL,Blount County,"8,472","13,179","12,677","5,080",21.5,33.4,32.2,12.9
01011,AL,Bullock County,"2,614","2,478","1,315","1,031",35.1,33.3,17.7,13.9
01013,AL,Butler County,"3,102","5,274","3,588","2,032",22.2,37.7,25.6,14.5
01015,AL,Calhoun County,"15,021","25,062","24,799","13,818",19.1,31.8,31.5,17.6
01017,AL,Chambers County,"5,019","9,140","6,896","2,759",21.1,38.4,29.0,11.6
01019,AL,Cherokee County,"3,840","6,828","5,488","2,578",20.5,36.4,29.3,13.8
01021,AL,Chilton County,"6,364","11,562","7,395","4,151",21.6,39.2,25.1,14.1
01023,AL,Choctaw County,"2,250","3,512","2,646","1,126",23.6,36.8,27.8,11.8
01025,AL,Clarke County,"3,339","7,515","4,057","2,217",19.5,43.9,23.7,12.9
01027,AL,Clay County,"2,377","3,460","2,784",914,24.9,36.3,29.2,9.6
01029,AL,Cleburne County,"2,590","3,988","2,585","1,257",24.9,38.3,24.8,12.1
01031,AL,Coffee County,"5,291","10,151","10,799","8,223",15.4,29.5,31.3,23.9
01033,AL,Colbert County,"6,136","13,131","11,678","7,063",16.1,34.5,30.7,18.6
01035,AL,Conecuh County,"1,951","3,962","2,260",732,21.9,44.5,25.4,8.2
01037,AL,Coosa County,"2,080","3,017","2,246",679,25.9,37.6,28.0,8.5
01039,AL,Covington County,"5,343","8,890","8,445","3,792",20.2,33.6,31.9,14.3
01041,AL,Crenshaw County,"2,105","3,629","2,450","1,364",22,38.0,25.7,14.3
01043,AL,Cullman County,"10,125","19,331","18,194","8,123",18.2,34.7,32.6,14.6
01045,AL,Dale County,"4,858","10,704","12,246","5,437",14.6,32.2,36.8,16.4
01047,AL,Dallas County,"6,015","9,510","8,080","3,848",21.9,34.6,29.4,14.0
01049,AL,DeKalb County,"13,025","16,633","12,289","5,280",27.6,35.2,26.0,11.2
01051,AL,Elmore County,"7,288","19,298","16,202","11,664",13.4,35.4,29.8,21.4
01053,AL,Escambia County,"5,240","10,942","6,564","3,261",20.1,42.1,25.2,12.5
01055,AL,Etowah County,"12,554","22,869","24,683","11,485",17.5,31.9,34.5,16.0
01057,AL,Fayette County,"2,661","4,614","2,928","1,677",22.4,38.8,24.6,14.1
01059,AL,Franklin County,"5,355","7,895","5,420","2,405",25.4,37.5,25.7,11.4
01061,AL,Geneva County,"3,931","6,960","5,554","2,317",21,37.1,29.6,12.3
01063,AL,Greene County,"1,429","2,304","1,542",648,24.1,38.9,26.0,10.9
01065,AL,Hale County,"1,986","4,406","2,454","1,425",19.3,42.9,23.9,13.9
01067,AL,Henry County,"2,585","4,338","3,272","2,018",21.2,35.5,26.8,16.5
01069,AL,Houston County,"10,782","23,248","21,775","14,469",15.3,33.1,31.0,20.6
01071,AL,Jackson County,"8,608","14,819","9,135","4,628",23.1,39.8,24.6,12.4
01073,AL,Jefferson County,"51,438","117,727","138,782","137,022",11.6,26.5,31.2,30.8
01075,AL,Lamar County,"2,267","3,715","2,883","1,152",22.6,37.1,28.8,11.5
01077,AL,Lauderdale County,"9,871","21,416","17,873","13,710",15.7,34.1,28.4,21.8
01079,AL,Lawrence County,"4,919","9,464","6,319","2,590",21.1,40.6,27.1,11.1
01081,AL,Lee County,"10,048","22,389","25,585","29,925",11.4,25.5,29.1,34.0
01083,AL,Limestone County,"10,314","19,553","16,959","14,178",16.9,32.1,27.8,23.2
01085,AL,Lowndes County,"1,863","2,540","1,783","1,019",25.9,35.3,24.7,14.1
01087,AL,Macon County,"2,299","3,825","3,864","2,394",18.6,30.9,31.2,19.3
01089,AL,Madison County,"21,679","49,752","70,009","91,836",9.3,21.3,30.0,39.4
01091,AL,Marengo County,"2,119","5,782","3,777","2,105",15.4,42.0,27.4,15.3
01093,AL,Marion County,"4,735","7,471","6,946","2,498",21.9,34.5,32.1,11.5
01095,AL,Marshall County,"14,194","20,104","18,259","10,478",22.5,31.9,29.0,16.6
01097,AL,Mobile County,"40,230","89,651","83,313","60,005",14.7,32.8,30.5,22.0
01099,AL,Monroe County,"2,857","6,664","3,566","1,826",19.2,44.7,23.9,12.2
01101,AL,Montgomery County,"21,604","38,393","41,633","45,906",14.6,26.0,28.2,31.1
01103,AL,Morgan County,"14,107","25,383","25,015","17,472",17.2,31.0,30.5,21.3
01105,AL,Perry County,"1,552","2,362","1,391",810,25.4,38.6,22.7,13.2
01107,AL,Pickens County,"2,950","5,841","3,679","1,369",21.3,42.2,26.6,9.9
01109,AL,Pike County,"3,951","6,604","4,389","4,562",20.3,33.9,22.5,23.4
01111,AL,Randolph County,"3,774","5,528","3,903","2,344",24.3,35.6,25.1,15.1
01113,AL,Russell County,"6,753","12,000","12,896","6,523",17.7,31.4,33.8,17.1
01115,AL,St. Clair County,"9,980","21,048","18,988","9,230",16.8,35.5,32.0,15.6
01117,AL,Shelby County,"11,807","29,335","40,092","55,892",8.6,21.4,29.2,40.8
01119,AL,Sumter County,"1,762","3,295","1,745","1,326",21.7,40.5,21.5,16.3
01121,AL,Talladega County,"11,599","20,386","16,756","7,373",20.7,36.3,29.9,13.1
01123,AL,Tallapoosa County,"5,843","9,945","8,109","5,011",20.2,34.4,28.1,17.3
01125,AL,Tuscaloosa County,"15,719","36,907","33,890","34,444",13,30.5,28.0,28.5
01127,AL,Walker County,"9,925","16,705","14,202","4,954",21.7,36.5,31.0,10.8
01129,AL,Washington County,"2,242","5,310","2,815","1,141",19.5,46.1,24.5,9.9
01131,AL,Wilcox County,"1,675","3,058","1,742",924,22.6,41.3,23.5,12.5
01133,AL,Winston County,"4,418","5,816","5,052","1,965",25.6,33.7,29.3,11.4
02000,AK,Alaska,"36,493","129,324","168,702","129,921",7.9,27.8,36.3,28.0
02010,AK,Aleutian Islands,,,,,,,,
02013,AK,Aleutians East Borough,462,993,711,354,18.3,39.4,28.2,14.0
02016,AK,Aleutians West Census Area,627,"1,447","1,258",576,16,37.0,32.2,14.7
02020,AK,Anchorage Municipality,"13,276","45,700","67,484","62,840",7,24.1,35.6,33.2
02050,AK,Bethel Census Area,"1,987","4,119","2,238","1,100",21,43.6,23.7,11.6
02060,AK,Bristol Bay Borough,52,199,268,130,8,30.7,41.3,20.0
02068,AK,Denali Borough,66,331,525,461,4.8,23.9,38.0,33.3
02070,AK,Dillingham Census Area,381,"1,079",910,459,13.5,38.1,32.2,16.2
02090,AK,Fairbanks North Star Borough,"3,388","14,240","23,829","19,280",5.6,23.4,39.2,31.7
02100,AK,Haines Borough,89,536,620,689,4.6,27.7,32.1,35.6
02105,AK,Hoonah-Angoon Census Area,155,506,524,430,9.6,31.3,32.4,26.6
02110,AK,Juneau City and Borough,"1,157","4,702","7,831","8,579",5.2,21.1,35.2,38.5
02122,AK,Kenai Peninsula Borough,"2,572","12,940","14,632","8,893",6.6,33.1,37.5,22.8
02130,AK,Ketchikan Gateway Borough,758,"3,058","3,287","2,217",8.1,32.8,35.3,23.8
02150,AK,Kodiak Island Borough,821,"2,330","3,278","2,107",9.6,27.3,38.4,24.7
02158,AK,Kusilvak Census Area,832,"1,811",870,185,22.5,49.0,23.5,5.0
02160,AK,Kuskokwim Division,,,,,,,,
02164,AK,Lake and Peninsula Borough,109,368,270,111,12.7,42.9,31.5,12.9
02170,AK,Matanuska-Susitna Borough,"4,702","19,183","24,221","12,588",7.7,31.6,39.9,20.7
02180,AK,Nome Census Area,831,"2,225","1,576",759,15.4,41.3,29.2,14.1
02185,AK,North Slope Borough,708,"2,314","2,385",876,11.3,36.8,38.0,13.9
02188,AK,Northwest Arctic Borough,859,"1,754",985,427,21.3,43.6,24.5,10.6
02195,AK,Petersburg Census Area,131,678,813,550,6,31.2,37.4,25.3
02198,AK,Prince of Wales-Hyder Census Area,406,"1,759","1,468",667,9.4,40.9,34.1,15.5
02201,AK,Prince of Wales-Outer Ketchikan Census Area,,,,,,,,
02220,AK,Sitka City and Borough,446,"1,362","2,441","1,924",7.2,22.1,39.5,31.2
02230,AK,Skagway Municipality,21,230,257,284,2.7,29.0,32.4,35.9
02231,AK,Skagway-Yakutat-Angoon Census Area,,,,,,,,
02232,AK,Skagway-Hoonah-Angoon Census Area,,,,,,,,
02240,AK,Southeast Fairbanks Census Area,350,"1,477","1,826",797,7.9,33.2,41.0,17.9
02250,AK,Upper Yukon Division,,,,,,,,
02261,AK,Valdez-Cordova Census Area,475,"1,720","2,315","1,814",7.5,27.2,36.6,28.7
